Ticker,Total Trades,Win Rate,Bot Return (%),Buy & Hold Return (%),Excess Return (%),Sharpe Ratio,Max Drawdown (%),Final Value,Profit/Loss
ADBE,2,100.0,1.7139999389648386,-6.531863464690146,8.245863403654985,1.154850976046672,-1.0583324308969724,10171.399993896484,171.39999389648438
V,2,100.0,1.6100006103515696,8.515831081587155,-6.905830471235586,1.5505156696803555,-0.4370818668533236,10161.000061035156,161.00006103515625
DIS,2,100.0,2.0905780792236373,19.18328487442689,-17.092706795203252,0.8177122803974289,-1.9364306286844892,10209.057807922363,209.05780792236328
CRM,2,0.0,-0.8792703247070266,-1.3880553942573148,0.5087850695502882,-0.31580379606085784,-2.4438955688642667,9912.072967529297,-87.92703247070312
MSFT,2,100.0,1.7869216918945385,29.289887458058097,-27.50296576616356,1.1224972160321824,0.0,10178.692169189453,178.69216918945312
AAPL,2,100.0,2.09882202148437,31.007314550040643,-28.908492528556273,0.7794369208274725,-0.9009185791015626,10209.882202148438,209.8822021484375
HD,1,0.0,0.7549789428710874,1.9054527253781206,-1.1504737825070332,0.6296602621831439,-0.7241156147550905,10075.49789428711,75.49789428710938
UNH,4,50.0,1.4039495849609285,-30.302697195594753,31.70664678055568,0.8438548035026686,-1.069196954076007,10140.394958496094,140.39495849609375
PYPL,2,100.0,1.9921948242187515,-10.883990390181442,12.876185214400193,0.8353176664600228,-1.1643143695235367,10199.219482421875,199.219482421875
C,2,100.0,2.3357116699218805,79.34314700151236,-77.00743533159049,1.1624344526960617,-0.7894865132859484,10233.571166992188,233.5711669921875
SBUX,2,100.0,2.0403387451171984,-9.029951544904124,11.070290290021322,1.0829878238123112,-0.0728704833984375,10204.033874511719,204.03387451171875
GS,2,100.0,2.0232946777343663,72.61404619415394,-70.59075151641957,1.0527894864148677,-0.129609375,10202.329467773438,202.3294677734375
NKE,2,0.0,-1.127328338623046,-14.18995031244037,13.062621973817324,-1.665961430045079,-1.1273283386230468,9887.267166137695,-112.73283386230469
BAC,2,100.0,2.0123054504394444,41.862379607332436,-39.850074156892994,1.2493510987074004,-0.6952520014769059,10201.230545043945,201.2305450439453
MRK,2,0.0,-1.1011907958984324,16.807400770859292,-17.908591566757725,-0.8345957036516518,-1.2693390424252797,9889.880920410156,-110.11907958984375
MCD,2,100.0,1.7293231201171766,5.517276649217728,-3.7879535291005517,1.5622835663419534,-0.43569458097578373,10172.932312011719,172.93231201171875
LLY,2,100.0,2.0191003417968645,35.33416118781625,-33.315060846019385,2.060330846398348,0.0,10201.910034179688,201.9100341796875
PFE,2,100.0,1.93282501220704,3.0191045766680524,-1.0862795644610124,0.8880817207655969,-1.6192426890484568,10193.282501220703,193.28250122070312
